Wall time,Step,Value
1694440956.9787567,293,51.279998779296875
1694440958.444294,298,58.119998931884766
1694440958.8370342,299,56.2400016784668
1694440960.2822893,303,58.0
1694440960.5804358,304,58.79999923706055
1694440961.5446825,308,49.84000015258789
1694440961.9064856,309,50.91999816894531
1694440962.66762,311,50.0
1694440963.5567122,314,53.720001220703125
1694440964.8164706,319,57.560001373291016
1694440964.935099,320,56.15999984741211
1694440965.3607652,321,53.79999923706055
1694440966.803612,326,52.880001068115234
1694440967.289297,327,52.79999923706055
1694440967.7192214,328,53.31999969482422
1694440968.3305862,331,53.31999969482422
1694440971.1533072,340,55.959999084472656
1694440971.8932521,342,53.7599983215332
1694440973.2035637,348,53.560001373291016
1694440974.840495,354,52.91999816894531
1694440975.5022113,355,53.7599983215332
1694440978.2719421,361,57.400001525878906
1694440979.696728,364,63.599998474121094
1694440980.8977537,368,67.31999969482422
1694440982.457479,372,70.16000366210938
1694440983.126048,374,70.44000244140625
1694440984.7550082,378,75.27999877929688
1694440985.4307492,379,81.95999908447266
1694440985.8028471,380,81.68000030517578
1694440987.0733378,382,80.08000183105469
1694440988.9471393,387,84.31999969482422
1694440990.960278,392,85.80000305175781
1694440991.197031,393,86.36000061035156
1694440991.613306,394,85.4800033569336
1694440996.7666457,409,81.31999969482422
1694440999.8943453,416,72.72000122070312
1694441002.2457905,422,75.4800033569336
1694441002.655551,423,78.95999908447266
1694441003.4283535,425,77.83999633789062
1694441004.4004078,427,71.0
1694441006.511155,431,72.76000213623047
1694441010.8330767,440,77.83999633789062
1694441012.7562609,442,79.72000122070312
1694441013.4318907,443,85.19999694824219
1694441015.1999354,446,92.76000213623047
1694441017.0396795,452,91.23999786376953
1694441021.2814612,460,97.4000015258789
1694441022.348034,461,93.63999938964844
1694441023.4807189,464,94.27999877929688
1694441024.294281,465,98.27999877929688
1694441029.167265,474,93.83999633789062
1694441029.6363497,475,95.76000213623047
1694441036.9441383,486,120.4000015258789
1694441039.3325512,489,119.12000274658203
1694441040.263506,490,113.5199966430664
1694441041.5254486,492,111.76000213623047
1694441042.9799783,494,117.63999938964844
1694441052.7459822,508,117.80000305175781
1694441055.6120543,513,117.12000274658203
1694441056.5890179,515,120.19999694824219
1694441059.2932386,518,123.95999908447266
1694441060.4309926,520,121.23999786376953
1694441064.216569,525,122.83999633789062
1694441064.807702,526,126.08000183105469
1694441069.9073396,532,140.0
1694441071.5021727,534,141.52000427246094
1694441072.152712,535,139.1199951171875
1694441073.54221,537,140.39999389648438
1694441073.8442922,538,138.67999267578125
1694441075.5751517,541,143.55999755859375
1694441076.895686,543,139.75999450683594
1694441080.8022454,548,152.8800048828125
1694441081.495675,549,152.52000427246094
1694441086.459198,558,126.55999755859375
1694441087.6465197,560,127.63999938964844
1694441090.355798,564,136.60000610351562
1694441091.403829,565,136.63999938964844
1694441092.3649378,566,136.44000244140625
1694441094.8028917,570,126.31999969482422
1694441098.0850885,574,130.39999389648438
1694441099.2846112,575,135.39999389648438
1694441101.559275,578,140.24000549316406
1694441103.75361,580,150.0
1694441104.4809709,581,156.63999938964844
1694441105.1964557,582,158.32000732421875
1694441105.908126,583,164.0
1694441106.5093312,584,164.24000549316406
1694441107.042193,585,168.75999450683594
1694441109.3901103,587,170.9600067138672
1694441110.8564005,588,164.1199951171875
1694441115.268904,593,179.27999877929688
1694441116.2795622,594,181.1999969482422
1694441119.347648,598,177.16000366210938
1694441121.864213,601,161.8000030517578
1694441124.5907288,603,173.8000030517578
1694441131.8128417,609,187.0399932861328
1694441134.2990193,611,190.8800048828125
1694441139.1264913,616,184.75999450683594
1694441142.735226,620,182.47999572753906
1694441143.7206979,621,186.8800048828125
1694441145.4497106,623,190.16000366210938
1694441155.9284177,635,166.75999450683594
1694441161.4843583,642,166.0
1694441163.2710845,643,171.1199951171875
1694441165.3564556,645,182.1199951171875
1694441166.457179,646,180.52000427246094
1694441168.2184136,647,181.0800018310547
